siren,nic,siret,trancheEffectifsEtablissement,etablissementSiege,categorieJuridiqueUniteLegale,denominationUniteLegale,activitePrincipaleUniteLegale,trancheEffectifsUniteLegale,categorieEntreprise,complementAdresseEtablissement,numeroVoieEtablissement,typeVoieEtablissement,libelleVoieEtablissement,codePostalEtablissement,libelleCommuneEtablissement,distributionSpecialeEtablissement,codeCommuneEtablissement,codeCedexEtablissement,libelleCedexEtablissement,enseigne1Etablissement,denominationUsuelleEtablissement,activitePrincipaleEtablissement,caractereEmployeurEtablissement,naf.niv4,naf.niv3,naf.niv2,sectionActivitePrincipaleUniteLegale,libelleSectionActivitePrincipaleUniteLegale,libelleActivitePrincipaleUniteLegale,tranche_ca_millesime_1,tranche_ca_millesime_2,tranche_ca_millesime_3,CA,nom_zone_d_activite
480189745,00049,48018974500049,01,true,5710,O.T.T. FASHION,46.18Z,01,PME,,3,RUE,DU TONNELIER,67960,ENTZHEIM,,67124,,,,,46.18Z,O,46.18,46.1,46,G,Commerce ; réparation d'automobiles et de motocycles,Intermédiaires spécialisés dans le commerce d'autres produits spécifiques,,,,,aeroparc
480352319,00044,48035231900044,11,true,5499,ACESI FRANCE,62.02A,11,PME,,8,RUE,ICARE,67960,ENTZHEIM,,67124,,,,,62.02A,O,62.02,62.0,62,J,Information et communication,Conseil en systèmes et logiciels informatiques,,,,,aeroparc
480961002,00072,48096100200072,,false,5710,SOC NAL DE PORTAGE SALARIAL S.N.P.S.,82.99Z,12,ETI,,1,RUE,PEGASE,67960,ENTZHEIM,,67124,,,,,82.99Z,O,82.99,82.9,82,N,Activités de services administratifs et de soutien,Autres activités de soutien aux entreprises n.c.a.,,,,,aeroparc
482695343,00038,48269534300038,03,true,5499,TELECOM.OBJECT,61.10Z,03,PME,,15,RUE,DU CORDONNIER,67960,ENTZHEIM,,67124,,,,,61.10Z,O,61.10,61.1,61,J,Information et communication,Télécommunications filaires,,,,,aeroparc
483964433,00021,48396443300021,01,true,5499,HEB IMMOBILIER,68.10Z,01,PME,1A,,RUE,PEGASE,67960,ENTZHEIM,,67124,,,,,68.10Z,O,68.10,68.1,68,L,Activités immobilières,Activités des marchands de biens immobiliers,,,,,aeroparc
484841242,00031,48484124200031,12,true,5499,NOVEO,71.12B,12,PME,19 A,,RUE,ICARE,67960,ENTZHEIM,,67124,,,,,71.12B,O,71.12,71.1,71,M,"Activités spécialisées, scientifiques et techniques","Ingénierie, études techniques",,,,,aeroparc
485219463,00091,48521946300091,11,true,5710,ATELIO,71.12B,11,PME,,10,RUE,DES CIGOGNES,67960,ENTZHEIM,,67124,,,,,61.90Z,O,71.12,71.1,71,M,"Activités spécialisées, scientifiques et techniques","Ingénierie, études techniques",,,,,aeroparc
488174848,00025,48817484800025,11,true,5710,TOPAZE PROMOTION,41.10A,11,PME,1A,,RUE,PEGASE,67960,ENTZHEIM,,67124,,,,,41.10A,O,41.10,41.1,41,F,Construction,Promotion immobilière de logements,,,,,aeroparc
488319708,00027,48831970800027,11,true,5499,SARL JERODIS,47.11D,11,PME,,5,ALL,DES FORGERONS,67960,ENTZHEIM,,67124,,,,,47.11D,O,47.11,47.1,47,G,Commerce ; réparation d'automobiles et de motocycles,Supermarchés,,,,,aeroparc
488728056,00042,48872805600042,03,true,5499,SEXTANT INGENIERIE,71.12B,03,PME,,2,RUE,PEGASE,67960,ENTZHEIM,,67124,,,,,71.12B,O,71.12,71.1,71,M,"Activités spécialisées, scientifiques et techniques","Ingénierie, études techniques",,,,,aeroparc
