IRIS,REG,DEP,UU2010,COM,LIBCOM,TRIRIS,GRD_QUART,LIBIRIS,TYP_IRIS,MODIF_IRIS,LAB_IRIS,P10_POP0205,P10_POP0610,P10_POP1114,P10_POP1517,P10_POP1824,P10_POP2529,P10_POP30P,P10_SCOL0205,P10_SCOL0610,P10_SCOL1114,P10_SCOL1517,P10_SCOL1824,P10_SCOL2529,P10_SCOL30P,P10_NSCOL15P,P10_NSCOL15P_DIPL0,P10_NSCOL15P_CEP,P10_NSCOL15P_BEPC,P10_NSCOL15P_CAPBEP,P10_NSCOL15P_BAC,P10_NSCOL15P_BACP2,P10_NSCOL15P_SUP,P10_HNSCOL15P,P10_HNSCOL15P_DIPL0,P10_HNSCOL15P_CEP,P10_HNSCOL15P_BEPC,P10_HNSCOL15P_CAPBEP,P10_HNSCOL15P_BAC,P10_HNSCOL15P_BACP2,P10_HNSCOL15P_SUP,P10_FNSCOL15P,P10_FNSCOL15P_DIPL0,P10_FNSCOL15P_CEP,P10_FNSCOL15P_BEPC,P10_FNSCOL15P_CAPBEP,P10_FNSCOL15P_BAC,P10_FNSCOL15P_BACP2,P10_FNSCOL15P_SUP
751103710,11,75,851,75110,Paris 10e Arrondissement,750631,7511037,Saint-Vincent de Paul 10,A,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
751103711,11,75,851,75110,Paris 10e Arrondissement,750511,7511037,Saint-Vincent de Paul 11,A,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
751103712,11,75,851,75110,Paris 10e Arrondissement,750521,7511037,Saint-Vincent de Paul 12,A,0,3,50,50,25,19,84,94,439,31,50,25,19,68,27,4,519,35,19,23,42,52,65,283,280,16,3,13,26,32,30,160,239,20,15,10,16,20,35,124
751103801,11,75,851,75110,Paris 10e Arrondissement,750621,7511038,Porte Saint-Denis 1,H,0,1,159,142,74,52,227,298,1490,117,139,74,48,110,26,29,1852,401,42,71,147,253,232,706,943,188,18,50,86,156,108,338,909,212,25,21,61,97,124,368
751103802,11,75,851,75110,Paris 10e Arrondissement,750611,7511038,Porte Saint-Denis 2,H,0,1,77,107,49,65,191,218,1278,58,107,49,65,136,16,42,1492,418,53,65,97,215,154,490,843,245,30,25,42,126,79,296,649,173,22,40,55,89,75,194
751103803,11,75,851,75110,Paris 10e Arrondissement,750611,7511038,Porte Saint-Denis 3,H,0,1,138,157,43,68,303,398,2027,87,157,43,64,193,72,35,2431,370,100,98,144,311,260,1148,1260,176,48,35,79,161,130,631,1172,195,52,64,64,150,130,517
751103804,11,75,851,75110,Paris 10e Arrondissement,750611,7511038,Porte Saint-Denis 4,H,0,1,144,128,70,103,300,339,2141,98,128,70,103,198,59,86,2438,520,78,114,184,328,270,943,1344,313,43,60,123,185,125,495,1094,207,35,55,61,143,146,447
751103805,11,75,851,75110,Paris 10e Arrondissement,750621,7511038,Porte Saint-Denis 5,H,0,1,149,130,70,58,313,401,1417,106,125,62,57,183,57,44,1848,220,51,63,152,353,241,767,973,122,24,26,87,198,99,417,875,99,27,37,65,155,142,350
751103806,11,75,851,75110,Paris 10e Arrondissement,750621,7511038,Porte Saint-Denis 6,H,0,1,171,140,125,88,270,337,2055,109,136,122,88,196,57,69,2341,265,89,94,139,370,278,1105,1241,159,38,51,94,193,122,583,1099,106,51,43,45,177,156,522
751103901,11,75,851,75110,Paris 10e Arrondissement,750581,7511039,Porte Saint-Martin 1,H,0,1,80,77,40,24,207,270,1266,65,77,39,22,157,51,30,1506,133,55,84,119,183,176,757,735,66,37,23,68,88,75,378,771,66,18,61,51,95,101,379
751103902,11,75,851,75110,Paris 10e Arrondissement,750581,7511039,Porte Saint-Martin 2,H,0,1,124,159,110,72,244,221,1564,83,156,110,72,164,43,33,1790,225,60,74,125,209,215,881,942,115,9,33,77,92,126,490,848,110,51,41,49,117,89,391
751103903,11,75,851,75110,Paris 10e Arrondissement,750581,7511039,Porte Saint-Martin 3,H,0,1,139,108,80,40,262,222,1285,102,104,80,40,172,27,49,1522,212,58,78,102,182,214,676,728,104,17,36,49,93,96,333,794,108,41,42,53,89,118,343
751103904,11,75,851,75110,Paris 10e Arrondissement,750581,7511039,Porte Saint-Martin 4,H,0,2,63,124,68,41,177,248,1321,48,124,68,41,122,28,23,1572,158,65,94,106,232,182,734,757,93,23,38,46,90,78,388,815,65,42,56,60,142,104,346
751103905,11,75,851,75110,Paris 10e Arrondissement,750601,7511039,Porte Saint-Martin 5,H,0,2,56,69,41,18,214,310,1144,35,69,41,18,129,58,55,1427,239,56,46,106,220,163,597,762,137,24,32,68,116,59,325,665,102,32,14,38,104,104,272
751103906,11,75,851,75110,Paris 10e Arrondissement,750601,7511039,Porte Saint-Martin 6,H,0,1,179,167,97,85,227,292,1703,117,167,97,81,148,26,56,1995,372,165,62,172,257,234,733,1057,188,87,31,98,142,119,394,938,184,78,31,75,116,115,339
751103907,11,75,851,75110,Paris 10e Arrondissement,750601,7511039,Porte Saint-Martin 7,H,0,1,86,125,36,54,251,213,1345,51,121,36,54,174,57,58,1519,267,52,65,83,185,141,727,778,143,22,36,35,105,48,389,741,124,29,28,48,80,93,338
751103908,11,75,851,75110,Paris 10e Arrondissement,750591,7511039,Porte Saint-Martin 8,H,0,1,134,177,144,95,355,347,2248,94,174,140,95,271,42,53,2584,413,149,63,239,288,320,1112,1321,220,54,38,116,182,165,547,1263,193,94,25,123,106,155,565
751103909,11,75,851,75110,Paris 10e Arrondissement,750591,7511039,Porte Saint-Martin 9,H,0,1,105,105,94,71,272,337,1375,91,105,93,64,211,78,52,1650,263,49,73,140,292,212,620,846,146,22,25,94,144,103,311,804,117,28,47,46,148,109,310
751103910,11,75,851,75110,Paris 10e Arrondissement,750591,7511039,Porte Saint-Martin 10,H,0,1,139,86,83,17,215,432,1483,91,86,83,16,149,35,36,1910,283,53,90,138,252,239,855,992,155,14,43,86,146,124,424,918,129,39,48,52,106,115,430
751103988,11,75,851,75110,Paris 10e Arrondissement,750591,7511039,Canal St-Martin,D,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
751104001,11,75,851,75110,Paris 10e Arrondissement,750571,7511040,Hopital Saint-Louis 1,H,0,1,202,158,78,71,322,320,1683,139,158,78,67,200,68,46,2017,687,84,74,149,228,194,600,1020,337,45,38,93,98,106,302,997,350,39,36,56,130,88,298
751104002,11,75,851,75110,Paris 10e Arrondissement,750561,7511040,Hopital Saint-Louis 2,H,0,2,138,205,165,123,415,306,1926,94,203,156,114,236,47,36,2337,574,124,119,271,359,245,644,1151,297,44,60,141,196,113,301,1186,277,80,59,130,164,132,343
751104003,11,75,851,75110,Paris 10e Arrondissement,750571,7511040,Hopital Saint-Louis 3,H,0,1,116,152,58,28,206,398,1681,69,149,57,25,132,46,57,2054,282,75,80,129,317,242,929,1032,151,25,39,63,195,88,472,1022,131,51,41,66,122,154,458
751104004,11,75,851,75110,Paris 10e Arrondissement,750571,7511040,Hopital Saint-Louis 4,H,0,1,71,74,48,21,185,249,1010,44,73,48,21,76,52,26,1290,254,53,38,88,152,189,517,680,158,11,19,65,88,79,259,610,96,41,19,23,64,110,258
751104005,11,75,851,75110,Paris 10e Arrondissement,750561,7511040,Hopital Saint-Louis 5,H,0,1,47,58,50,37,238,242,1106,35,58,47,37,138,42,77,1329,275,79,39,86,207,144,499,682,151,20,17,43,140,58,253,648,124,59,22,43,67,87,246
751104006,11,75,851,75110,Paris 10e Arrondissement,750561,7511040,Hopital Saint-Louis 6,H,0,1,137,89,33,27,248,348,1684,101,88,33,25,137,47,35,2061,382,78,89,177,279,228,827,1048,193,23,38,99,157,110,428,1013,189,54,52,78,123,119,399
751104007,11,75,851,75110,Paris 10e Arrondissement,750551,7511040,Hopital Saint-Louis 7,H,0,1,190,228,147,141,343,317,2337,119,228,147,137,212,44,32,2712,470,198,160,343,419,292,829,1275,228,72,71,180,192,141,390,1437,242,126,89,163,227,151,439
751104008,11,75,851,75110,Paris 10e Arrondissement,750541,7511040,Hopital Saint-Louis 8,H,0,1,107,151,184,161,402,407,2357,68,151,184,161,245,71,46,2804,622,163,192,244,504,286,792,1371,288,65,80,149,250,142,397,1433,335,98,112,95,254,144,395
751104009,11,75,851,75110,Paris 10e Arrondissement,750541,7511040,Hopital Saint-Louis 9,H,0,1,73,78,58,44,347,409,1443,56,74,58,43,254,57,20,1869,178,102,58,163,283,213,872,916,85,45,27,81,149,83,446,953,93,57,31,82,134,130,426
751104010,11,75,851,75110,Paris 10e Arrondissement,750551,7511040,Hopital Saint-Louis 10,H,0,1,82,113,120,96,322,194,1335,60,113,117,93,212,30,26,1587,347,102,78,184,230,159,486,709,164,35,42,87,110,37,233,878,183,67,36,97,120,122,252
751104011,11,75,851,75110,Paris 10e Arrondissement,750541,7511040,Hopital Saint-Louis 11,H,0,2,149,124,98,45,245,349,1461,93,124,98,45,145,45,40,1825,199,92,90,158,296,331,658,870,106,27,39,85,163,143,307,955,93,66,51,73,133,187,352
751104012,11,75,851,75110,Paris 10e Arrondissement,750551,7511040,Hopital Saint-Louis 12,A,0,3,3,5,3,10,13,32,150,3,5,3,10,1,3,2,190,47,12,6,13,29,24,57,116,36,1,6,9,22,11,31,73,12,11,0,4,7,13,26
751104088,11,75,851,75110,Paris 10e Arrondissement,750541,7511040,Canal St-Martin,D,0,3,0,0,0,0,55,23,35,0,0,0,0,2,0,0,111,2,0,12,24,58,11,4,110,2,0,12,23,58,11,4,1,0,0,0,1,0,0,0
751114101,11,75,851,75111,Paris 11e Arrondissement,750651,7511141,Folie Mericourt 1,H,0,1,122,165,128,60,315,323,2065,93,165,127,57,189,40,49,2427,375,86,124,190,268,260,1124,1224,232,34,43,125,144,111,536,1203,144,52,80,66,124,149,588
751114102,11,75,851,75111,Paris 11e Arrondissement,750661,7511141,Folie Mericourt 2,H,0,1,76,108,61,32,245,433,1603,57,108,56,32,147,59,50,2025,251,81,94,190,292,300,817,968,127,25,54,120,136,119,387,1058,124,55,40,70,156,181,430
751114103,11,75,851,75111,Paris 11e Arrondissement,750661,7511141,Folie Mericourt 3,H,0,1,41,68,56,41,216,264,1087,29,68,56,34,113,8,43,1410,187,28,83,140,281,165,527,733,95,13,47,72,141,78,287,677,93,14,36,67,140,87,240
751114104,11,75,851,75111,Paris 11e Arrondissement,750671,7511141,Folie Mericourt 4,H,0,1,75,34,31,28,150,328,1010,54,34,31,28,97,36,39,1317,137,66,32,81,184,163,654,659,66,31,10,59,93,80,320,658,71,35,22,22,91,83,334
751114105,11,75,851,75111,Paris 11e Arrondissement,750681,7511141,Folie Mericourt 5,H,0,1,75,73,83,40,269,243,1292,47,73,83,40,179,43,35,1546,170,55,59,118,239,203,703,779,76,25,26,43,147,96,365,767,94,30,33,75,92,106,338
751114106,11,75,851,75111,Paris 11e Arrondissement,750681,7511141,Folie Mericourt 6,H,0,1,101,80,65,76,326,316,1666,67,80,65,76,233,53,69,1952,219,70,68,103,277,230,984,942,105,24,36,67,139,82,489,1010,114,46,33,36,138,148,494
751114107,11,75,851,75111,Paris 11e Arrondissement,750681,7511141,Folie Mericourt 7,H,0,1,111,88,83,59,346,443,1692,60,83,83,59,254,62,46,2119,267,69,95,102,251,275,1060,991,110,6,66,63,103,150,492,1128,157,63,28,39,148,125,568
751114108,11,75,851,75111,Paris 11e Arrondissement,750671,7511141,Folie Mericourt 8,H,0,1,85,98,78,40,197,321,1550,60,92,73,40,149,44,25,1850,178,65,77,115,253,246,916,857,108,20,29,52,112,110,426,993,70,45,48,62,141,136,490
751114109,11,75,851,75111,Paris 11e Arrondissement,750661,7511141,Folie Mericourt 9,H,0,1,108,115,69,70,297,410,1918,89,112,69,70,226,69,55,2274,462,56,83,170,243,296,962,1207,300,38,49,108,126,118,468,1067,162,18,34,62,117,179,494
751114110,11,75,851,75111,Paris 11e Arrondissement,750651,7511141,Folie Mericourt 10,H,0,2,92,75,33,40,149,184,1113,58,75,33,39,111,36,44,1257,287,41,57,92,141,144,495,659,169,17,31,42,79,84,238,598,118,24,26,51,62,60,257
751114111,11,75,851,75111,Paris 11e Arrondissement,750651,7511141,Folie Mericourt 11,H,0,2,102,122,95,84,243,122,990,68,118,88,81,173,15,21,1152,317,75,60,142,157,124,277,570,167,28,19,67,73,51,166,581,150,47,41,75,84,73,112
751114112,11,75,851,75111,Paris 11e Arrondissement,750641,7511141,Folie Mericourt 12,H,0,2,90,132,76,39,195,174,1371,54,132,76,39,119,28,36,1557,416,78,310,122,169,90,371,886,202,35,273,73,75,49,180,671,214,43,37,49,95,42,191
751114113,11,75,851,75111,Paris 11e Arrondissement,750641,7511141,Folie Mericourt 13,H,0,2,40,72,29,21,123,233,777,35,72,29,21,82,34,28,989,238,7,15,75,137,116,401,510,129,4,9,49,75,51,194,479,109,3,6,25,62,66,208
751114114,11,75,851,75111,Paris 11e Arrondissement,750641,7511141,Folie Mericourt 14,H,0,1,42,79,34,34,157,242,1023,24,76,34,33,107,42,33,1241,151,43,54,104,194,123,572,623,69,8,28,61,93,49,316,618,83,35,26,43,101,74,257
751114115,11,75,851,75111,Paris 11e Arrondissement,750671,7511141,Folie Mericourt 15,H,0,1,124,147,59,48,109,201,1407,77,144,59,48,75,22,40,1580,229,79,53,54,166,172,827,732,95,27,25,18,78,82,408,848,134,53,28,36,88,91,419
751114201,11,75,851,75111,Paris 11e Arrondissement,750721,7511142,Saint-Ambroise 1,H,0,1,88,85,50,33,166,142,1388,52,85,49,33,110,26,35,1525,406,85,48,118,227,141,501,777,234,36,19,67,101,74,245,749,171,49,29,51,125,67,255
751114202,11,75,851,75111,Paris 11e Arrondissement,750721,7511142,Saint-Ambroise 2,H,0,2,91,91,84,84,222,182,1336,47,91,84,84,136,11,25,1567,224,76,101,169,236,132,629,759,106,24,45,102,106,50,325,808,118,52,56,67,129,81,304
751114203,11,75,851,75111,Paris 11e Arrondissement,750721,7511142,Saint-Ambroise 3,H,0,1,75,95,81,59,323,371,1697,48,95,81,59,229,66,38,2060,174,62,68,159,323,293,982,997,95,26,30,72,157,120,498,1063,79,37,38,87,166,172,484
751114204,11,75,851,75111,Paris 11e Arrondissement,750711,7511142,Saint-Ambroise 4,H,0,1,93,80,55,34,345,443,1527,62,80,55,34,247,78,44,1946,212,59,81,136,294,256,908,908,101,23,28,89,136,94,437,1038,111,36,53,47,158,162,471
751114205,11,75,851,75111,Paris 11e Arrondissement,750711,7511142,Saint-Ambroise 5,H,0,1,46,95,41,50,187,257,1150,31,95,41,50,129,38,25,1402,104,51,60,77,164,149,797,682,56,34,10,47,80,79,376,720,48,17,50,30,84,70,421
751114206,11,75,851,75111,Paris 11e Arrondissement,750711,7511142,Saint-Ambroise 6,H,0,1,90,112,86,117,341,357,2073,56,112,86,113,239,34,41,2463,304,115,107,186,346,313,1092,1211,162,56,61,89,158,142,544,1251,143,59,47,97,187,171,548
751114207,11,75,851,75111,Paris 11e Arrondissement,750691,7511142,Saint-Ambroise 7,H,0,2,56,81,85,85,196,174,1769,41,77,85,84,149,51,27,1913,210,106,121,131,247,238,861,862,115,42,39,64,89,90,423,1051,94,64,82,66,158,148,439
751114208,11,75,851,75111,Paris 11e Arrondissement,750691,7511142,Saint-Ambroise 8,H,0,1,68,103,70,58,139,209,1551,46,102,70,58,115,34,19,1731,184,52,85,78,203,214,914,794,86,19,32,43,79,99,436,938,98,34,53,35,124,115,479
751114209,11,75,851,75111,Paris 11e Arrondissement,750691,7511142,Saint-Ambroise 9,H,0,1,74,103,86,72,250,267,1657,57,103,86,72,182,38,45,1909,164,100,72,123,214,275,962,891,69,43,31,64,84,107,493,1018,95,57,41,58,130,168,469
751114210,11,75,851,75111,Paris 11e Arrondissement,750701,7511142,Saint-Ambroise 10,H,0,1,86,73,61,39,385,449,1628,68,73,60,35,275,45,69,2075,197,72,62,129,259,270,1086,1021,101,27,31,64,158,124,515,1054,96,45,31,65,101,146,570
751114211,11,75,851,75111,Paris 11e Arrondissement,750701,7511142,Saint-Ambroise 11,H,0,1,72,81,78,47,265,260,1349,46,74,78,47,188,52,37,1598,106,79,98,108,266,193,748,773,62,39,42,55,123,84,367,825,43,40,56,54,143,108,381
751114212,11,75,851,75111,Paris 11e Arrondissement,750701,7511142,Saint-Ambroise 12,H,0,1,100,93,64,38,189,191,1308,55,93,63,38,148,26,33,1482,124,47,88,90,173,233,727,680,69,21,42,54,80,91,323,802,55,26,46,36,93,142,404
751114213,11,75,851,75111,Paris 11e Arrondissement,750701,7511142,Saint-Ambroise 13,H,0,1,98,82,63,44,395,292,1373,75,81,63,44,311,47,46,1656,143,47,59,99,328,193,788,843,93,28,27,45,181,75,393,813,50,19,31,54,147,117,395
751114214,11,75,851,75111,Paris 11e Arrondissement,750721,7511142,Saint-Ambroise 14,H,0,2,41,56,35,16,316,196,1009,22,55,34,16,242,40,9,1230,155,73,54,115,178,204,450,605,66,35,35,63,100,87,219,626,89,39,19,52,79,117,231
751114301,11,75,851,75111,Paris 11e Arrondissement,750791,7511143,Roquette 1,H,0,1,83,58,47,44,316,163,1368,51,58,47,43,218,21,35,1573,313,96,71,153,256,210,475,759,150,31,18,90,133,87,249,815,163,65,53,62,123,123,226
751114302,11,75,851,75111,Paris 11e Arrondissement,750791,7511143,Roquette 2,H,0,1,151,174,93,83,436,426,2553,106,173,90,83,280,73,60,3002,353,135,152,262,510,473,1115,1429,180,72,80,125,258,169,544,1573,173,64,72,137,252,304,571
751114303,11,75,851,75111,Paris 11e Arrondissement,750791,7511143,Roquette 3,H,0,1,62,72,76,51,150,141,1291,46,72,76,51,86,15,39,1443,271,125,124,169,278,217,259,565,104,40,68,62,121,67,104,878,167,85,56,107,157,150,156
751114304,11,75,851,75111,Paris 11e Arrondissement,750781,7511143,Roquette 4,H,0,1,59,72,50,48,191,189,1208,47,72,50,48,152,44,32,1360,107,93,87,158,226,296,393,563,56,44,26,92,82,80,182,797,51,48,61,66,143,216,211
751114305,11,75,851,75111,Paris 11e Arrondissement,750781,7511143,Roquette 5,H,0,1,141,140,67,76,398,452,2118,110,140,67,73,285,70,47,2569,261,179,119,307,303,328,1072,1133,135,65,40,161,130,120,481,1437,126,113,78,147,173,208,591
751114306,11,75,851,75111,Paris 11e Arrondissement,750781,7511143,Roquette 6,H,0,1,127,149,126,82,376,404,1908,90,142,126,79,258,70,33,2330,388,124,72,202,317,275,951,1101,185,46,33,120,141,117,459,1229,203,78,39,83,176,158,491
751114307,11,75,851,75111,Paris 11e Arrondissement,750771,7511143,Roquette 7,H,0,2,102,106,89,72,298,308,1630,68,106,89,72,197,39,28,1972,308,119,67,169,341,250,719,925,144,49,38,105,133,126,330,1047,164,70,29,64,208,124,388
751114308,11,75,851,75111,Paris 11e Arrondissement,750771,7511143,Roquette 8,H,0,2,91,44,43,41,172,211,1192,73,44,43,41,93,29,28,1425,191,67,66,207,145,211,537,748,66,27,30,146,91,88,300,677,125,40,36,61,54,122,237
751114309,11,75,851,75111,Paris 11e Arrondissement,750771,7511143,Roquette 9,H,0,2,40,56,33,19,183,220,1044,17,56,33,19,112,49,20,1266,118,66,55,90,171,197,570,586,56,25,14,63,75,68,285,681,62,40,40,28,96,129,285
751114310,11,75,851,75111,Paris 11e Arrondissement,750761,7511143,Roquette 10,H,0,1,106,96,46,43,246,294,1238,55,96,46,43,156,72,29,1522,140,53,33,61,187,178,869,696,69,16,12,37,86,86,389,826,72,37,21,24,100,92,479
751114311,11,75,851,75111,Paris 11e Arrondissement,750761,7511143,Roquette 11,H,0,2,42,56,60,31,343,335,1009,27,55,60,27,263,50,20,1357,152,64,31,72,210,177,652,703,85,34,12,38,105,109,321,654,67,30,19,34,105,68,331
751114312,11,75,851,75111,Paris 11e Arrondissement,750751,7511143,Roquette 12,H,0,1,68,77,68,26,171,325,1297,48,77,68,26,113,57,24,1599,126,90,44,48,239,160,892,807,63,38,13,27,134,95,438,792,63,52,32,21,105,65,454
751114313,11,75,851,75111,Paris 11e Arrondissement,750751,7511143,Roquette 13,H,0,1,55,78,42,39,214,291,1353,38,78,41,37,150,64,41,1605,100,37,55,72,247,225,870,725,46,8,19,34,93,94,432,880,55,29,36,38,154,131,437
751114314,11,75,851,75111,Paris 11e Arrondissement,750761,7511143,Roquette 14,H,0,1,57,87,61,53,232,373,1465,35,87,61,50,158,44,65,1807,269,39,61,141,199,257,841,928,126,26,31,73,79,120,474,879,143,14,30,68,120,137,367
751114315,11,75,851,75111,Paris 11e Arrondissement,750751,7511143,Roquette 15,H,0,2,82,80,25,37,190,330,1193,45,80,25,33,116,23,35,1542,223,47,86,117,236,182,650,816,122,10,45,71,119,90,359,726,102,37,41,46,116,92,292
751114316,11,75,851,75111,Paris 11e Arrondissement,750741,7511143,Roquette 16,H,0,2,110,87,69,77,285,286,1638,88,83,69,73,168,69,51,1923,311,75,123,143,254,198,818,996,155,37,60,86,147,76,435,928,156,38,63,57,107,122,383
751114317,11,75,851,75111,Paris 11e Arrondissement,750741,7511143,Roquette 17,H,0,1,104,115,44,49,215,306,1605,55,115,44,46,139,53,40,1898,223,85,109,135,223,267,855,959,119,27,71,81,121,126,413,939,104,58,38,54,101,141,443
751114318,11,75,851,75111,Paris 11e Arrondissement,750741,7511143,Roquette 18,H,0,1,70,87,32,35,271,417,1436,44,87,32,35,204,76,39,1806,209,117,64,117,257,256,786,895,100,31,27,74,130,101,432,911,109,86,37,43,126,155,354
751114319,11,75,851,75111,Paris 11e Arrondissement,750731,7511143,Roquette 19,H,0,1,41,67,71,65,174,142,1261,35,67,71,62,131,9,16,1424,175,109,122,169,235,266,348,615,65,35,48,83,120,93,172,809,110,73,74,86,115,174,176
751114320,11,75,851,75111,Paris 11e Arrondissement,750731,7511143,Roquette 20,H,0,2,100,110,69,71,283,360,1335,66,104,69,71,215,63,47,1653,120,77,78,143,267,304,665,730,54,31,30,71,116,119,309,923,66,46,48,72,152,185,356
751114321,11,75,851,75111,Paris 11e Arrondissement,750731,7511143,Roquette 21,H,0,2,62,98,92,51,212,317,1181,30,98,92,47,146,50,63,1455,161,49,60,119,209,200,657,725,78,21,23,61,122,98,322,730,83,28,37,58,87,102,335
751114401,11,75,851,75111,Paris 11e Arrondissement,750811,7511144,Sainte-Marguerite 1,H,0,2,68,50,46,43,245,203,1102,45,50,46,43,163,36,12,1338,182,57,91,118,160,151,579,626,72,16,43,58,69,64,304,712,111,41,48,61,91,87,275
751114402,11,75,851,75111,Paris 11e Arrondissement,750811,7511144,Sainte-Marguerite 2,H,0,1,57,29,33,31,237,291,1483,42,29,32,31,174,46,35,1756,194,120,73,101,225,234,810,784,90,47,23,37,126,108,352,972,104,73,49,63,99,126,457
751114403,11,75,851,75111,Paris 11e Arrondissement,750821,7511144,Sainte-Marguerite 3,H,0,1,50,64,36,21,418,406,1205,42,64,33,21,351,93,34,1551,159,59,56,100,197,244,735,799,74,13,26,49,116,129,392,752,84,46,31,52,82,115,343
751114404,11,75,851,75111,Paris 11e Arrondissement,750831,7511144,Sainte-Marguerite 4,H,0,1,103,112,85,55,267,339,1507,75,112,81,51,198,88,32,1799,191,63,57,107,206,257,917,835,87,20,36,71,67,105,448,964,104,43,21,36,140,151,469
751114405,11,75,851,75111,Paris 11e Arrondissement,750831,7511144,Sainte-Marguerite 5,H,0,1,68,129,65,50,256,329,1233,48,128,65,47,179,78,36,1528,176,50,83,73,172,217,756,726,86,12,34,48,87,109,350,801,90,39,50,25,85,107,406
751114406,11,75,851,75111,Paris 11e Arrondissement,750831,7511144,Sainte-Marguerite 6,H,0,1,154,168,69,69,419,440,1855,97,165,69,68,295,61,49,2310,289,137,108,198,299,304,974,1137,166,62,54,103,142,114,496,1174,122,75,54,96,157,190,479
751114407,11,75,851,75111,Paris 11e Arrondissement,750821,7511144,Sainte-Marguerite 7,H,0,1,70,62,37,37,183,286,1252,56,62,37,37,125,41,31,1524,161,71,89,99,187,258,658,704,86,27,42,55,87,116,291,820,75,43,48,45,100,142,368
751114408,11,75,851,75111,Paris 11e Arrondissement,750821,7511144,Sainte-Marguerite 8,H,0,1,110,112,96,56,286,427,2222,73,112,93,56,202,63,53,2618,239,165,119,218,374,320,1183,1218,103,81,43,110,156,155,570,1400,136,83,76,108,218,165,613
751114409,11,75,851,75111,Paris 11e Arrondissement,750811,7511144,Sainte-Marguerite 9,H,0,1,134,110,72,61,363,462,1881,109,109,72,61,227,63,35,2382,233,40,79,164,323,374,1168,1176,128,27,51,69,173,159,569,1205,105,13,28,95,150,215,599
751114410,11,75,851,75111,Paris 11e Arrondissement,750801,7511144,Sainte-Marguerite 10,H,0,1,168,171,133,84,378,411,2773,126,169,132,80,241,52,50,3224,346,258,237,351,535,381,1116,1466,157,111,83,176,249,142,549,1758,189,147,155,175,286,239,567
751114411,11,75,851,75111,Paris 11e Arrondissement,750801,7511144,Sainte-Marguerite 11,H,0,2,267,266,219,181,466,352,3009,198,262,219,174,341,75,58,3360,359,229,203,327,564,475,1203,1581,176,76,78,167,277,225,581,1779,183,153,125,159,288,250,622
751114412,11,75,851,75111,Paris 11e Arrondissement,750801,7511144,Sainte-Marguerite 12,H,0,1,119,112,70,64,295,405,2219,81,109,70,64,218,81,50,2570,240,132,128,161,378,460,1071,1243,114,42,45,81,169,275,518,1327,126,90,83,80,210,185,553
751114413,11,75,851,75111,Paris 11e Arrondissement,750821,7511144,Sainte-Marguerite 13,H,0,1,96,59,59,46,228,389,1498,71,58,59,46,156,45,29,1884,129,76,70,152,286,213,958,826,48,39,19,80,108,76,456,1058,81,37,51,73,178,138,501
751124501,11,75,851,75112,Paris 12e Arrondissement,750911,7511245,Bel Air 1,H,0,1,140,96,64,65,100,144,2373,88,96,63,65,69,12,35,2501,361,216,169,346,419,371,619,1095,165,57,54,177,194,150,297,1407,196,159,115,169,224,221,322
751124502,11,75,851,75112,Paris 12e Arrondissement,750921,7511245,Bel Air 2,H,0,1,148,152,158,101,402,569,2716,99,152,158,98,289,82,49,3269,234,132,152,340,478,471,1461,1517,115,37,62,195,176,172,760,1752,119,95,91,145,302,299,701
751124503,11,75,851,75112,Paris 12e Arrondissement,750921,7511245,Bel Air 3,H,0,1,140,108,121,56,163,153,1650,88,105,121,56,127,26,33,1781,96,92,114,136,330,235,778,779,33,36,36,79,97,85,412,1002,63,56,78,56,232,150,366
751124504,11,75,851,75112,Paris 12e Arrondissement,750931,7511245,Bel Air 4,H,0,1,62,78,77,31,184,250,1606,43,78,77,31,113,33,25,1868,81,115,120,123,290,291,848,835,37,30,36,62,123,100,448,1033,44,85,83,62,167,191,401
751124505,11,75,851,75112,Paris 12e Arrondissement,750931,7511245,Bel Air 5,H,0,1,95,112,59,58,142,205,1417,69,109,59,55,96,16,15,1641,88,64,98,135,279,227,750,775,45,35,38,80,145,82,350,866,43,29,59,55,134,144,400
751124506,11,75,851,75112,Paris 12e Arrondissement,750931,7511245,Bel Air 6,H,0,1,91,108,90,69,152,175,1448,65,106,90,69,102,27,28,1617,190,132,81,148,198,253,617,702,59,38,39,65,80,93,327,915,130,93,42,83,118,160,290
751124507,11,75,851,75112,Paris 12e Arrondissement,750931,7511245,Bel Air 7,H,0,1,53,63,50,38,181,270,1503,38,63,50,38,120,43,52,1738,192,96,118,130,312,233,659,773,87,30,44,68,134,89,322,965,104,66,74,62,178,144,337
751124508,11,75,851,75112,Paris 12e Arrondissement,750921,7511245,Bel Air 8,H,0,2,55,130,89,63,232,335,1497,52,130,89,63,159,70,30,1805,85,70,65,191,208,320,866,857,26,33,16,92,98,143,448,948,59,37,49,99,110,176,418
