siret,siren,denominationUniteLegale,localisation,trancheEffectifsEtablissement,libelleActivitePrincipaleUniteLegale,libelleSectionActivitePrincipaleUniteLegale,CA,latitude,longitude,trancheEffectifsEtablissementNum
40987944200112,409879442,AVITAIR,Village-ENTZHEIM,11,Services auxiliaires des transports aériens,Transports et entreposage,E + d 1M,48.531121,7.632609,15
40994648000012,409946480,SERRURERIE HEITZ,Village-HOLTZHEIM,12,Travaux de menuiserie métallique et serrurerie,Construction,E + d 1M,48.558452,7.644721,35
41257562300068,412575623,NEWREST FRANCE,Village-ENTZHEIM,12,Autres services de restauration n.c.a.,Hébergement et restauration,E + d 1M,48.533219,7.633302,35
41472896400514,414728964,INSTITUT DE SOUDURE INDUSTRIE,Aéroparc,11,"Analyses, essais et inspections techniques","Activités spécialisées, scientifiques et techniques",E + d 1M,48.541902,7.648245,15
41517321000022,415173210,ATHOS AERONAUTIQUE,Aéroparc,21,"Analyses, essais et inspections techniques","Activités spécialisées, scientifiques et techniques",Inconnu,48.54468,7.653564,75
41827211800021,418272118,ALCISE,Plaine de la Bruche,12,Activités de conditionnement,Activités de services administratifs et de soutien,Inconnu,48.545585,7.58657,35
41928326200162,419283262,KELLER FONDATIONS SPECIALES,Plaine de la Bruche,21,Autres travaux spécialisés de construction,Construction,E + d 1M,48.542597,7.567399,75
42049517800626,420495178,SOCIETE AIR FRANCE,Aéroport/Hangenbieten,22,Transports aériens de passagers,Transports et entreposage,E + d 1M,48.54601,7.62522,150
42113136800019,421131368,LOHR INDUSTRIE,Village-HANGENBIETEN,12,Construction de véhicules automobiles,Industrie manufacturière,E + d 1M,48.558487,7.617122,35
42113136800027,421131368,LOHR INDUSTRIE,Plaine de la Bruche,41,Construction de véhicules automobiles,Industrie manufacturière,E + d 1M,48.545585,7.58657,750
42184218800052,421842188,ASTEELFLASH FRANCE,Plaine de la Bruche,21,Fabrication de cartes électroniques assemblées,Industrie manufacturière,E + d 1M,48.53916,7.56946,75
42287638300031,422876383,EM GROUP FRANCE SARL,Aéroparc,12,Commerce de gros (commerce interentreprises) de fournitures et équipements divers pour le commerce et les services,Commerce ; réparation d'automobiles et de motocycles,E + d 1M,48.546207,7.653832,35
42385922200055,423859222,VOGEL DIFFUSION,Aéroparc,12,Commerce de voitures et de véhicules automobiles légers,Commerce ; réparation d'automobiles et de motocycles,Inconnu,48.540264,7.654353,35
42499052100017,424990521,SARL COPIN,Plaine de la Bruche,11,Fabrication de structures métalliques et de parties de structures,Industrie manufacturière,A - de 32K,48.538889,7.586532,15
42965916200037,429659162,XEOS,Aéroparc,11,Activités de soutien au spectacle vivant,"Arts, spectacles et activités récréatives",A - de 32K,48.541562,7.649359,15
43223014200080,432230142,HANSA FLEX FRANCE,Aéroparc,11,Commerce de gros (commerce interentreprises) de fournitures et équipements industriels divers,Commerce ; réparation d'automobiles et de motocycles,E + d 1M,48.544573,7.656317,15
43823959200043,438239592,FLEXTRONICS LAVAL,Aéroparc,11,Conseil pour les affaires et autres conseils de gestion,"Activités spécialisées, scientifiques et techniques",E + d 1M,48.545221,7.655786,15
43922445200011,439224452,GROUPEMENT ECOLE DE MUSIQUE LES CHATEAUX,Village-HANGENBIETEN,11,Arts du spectacle vivant,"Arts, spectacles et activités récréatives",Inconnu,48.560213,7.616293,15
